cell,concept_a,concept_b,l2
gradual,3,18,1.8464
gradual,3,19,1.8317
gradual,3,20,1.8999
gradual,3,21,1.8334
gradual,3,22,1.8539
gradual,3,23,2.0151
gradual,3,24,2.1081
gradual,4,5,0.2959
gradual,4,6,1.0194
gradual,4,7,1.762
gradual,4,8,2.0608
gradual,4,9,1.9716
gradual,4,10,1.783
gradual,4,11,1.8576
gradual,4,12,1.9162
gradual,4,13,1.8086
gradual,4,14,1.7669
gradual,4,15,2.0339
gradual,4,16,2.2041
gradual,4,17,2.1014
gradual,4,18,1.9447
gradual,4,19,1.9326
gradual,4,20,2.0036
gradual,4,21,1.9326
gradual,4,22,1.9381
gradual,4,23,2.0825
gradual,4,24,2.1694
gradual,5,6,0.7297
gradual,5,7,1.4713
gradual,5,8,1.7701
gradual,5,9,1.6869
gradual,5,10,1.5363
gradual,5,11,1.6846
gradual,5,12,1.7753
gradual,5,13,1.6625
gradual,5,14,1.6082
gradual,5,15,1.895
gradual,5,16,2.0761
gradual,5,17,1.9647
gradual,5,18,1.7868
gradual,5,19,1.7649
gradual,5,20,1.8423
gradual,5,21,1.7722
gradual,5,22,1.7855
gradual,5,23,1.9512
gradual,5,24,2.051
gradual,6,7,0.7463
gradual,6,8,1.0444
gradual,6,9,0.9873
gradual,6,10,1.0192
gradual,6,11,1.4191
gradual,6,12,1.5977
gradual,6,13,1.4926
gradual,6,14,1.4162
gradual,6,15,1.7381
gradual,6,16,1.936
gradual,6,17,1.8134
gradual,6,18,1.5961
gradual,6,19,1.548
gradual,6,20,1.6372
gradual,6,21,1.5696
gradual,6,22,1.5814
gradual,6,23,1.7731
gradual,6,24,1.896
gradual,7,8,0.3006
gradual,7,9,0.3416
gradual,7,10,0.8219
gradual,7,11,1.4482
gradual,7,12,1.6866
gradual,7,13,1.6088
gradual,7,14,1.5394
gradual,7,15,1.8532
gradual,7,16,2.0449
gradual,7,17,1.9251
gradual,7,18,1.6935
gradual,7,19,1.6211
gradual,7,20,1.7042
gradual,7,21,1.6543
gradual,7,22,1.6708
gradual,7,23,1.8663
gradual,7,24,1.9978
gradual,8,9,0.3087
gradual,8,10,0.9368
gradual,8,11,1.5818
gradual,8,12,1.8278
gradual,8,13,1.7613
gradual,8,14,1.6886
gradual,8,15,1.9772
gradual,8,16,2.1572
gradual,8,17,2.0425
gradual,8,18,1.8158
gradual,8,19,1.7399
gradual,8,20,1.817
gradual,8,21,1.7741
gradual,8,22,1.7869
gradual,8,23,1.9718
gradual,8,24,2.1007
gradual,9,10,0.6386
gradual,9,11,1.2825
gradual,9,12,1.5288
gradual,9,13,1.4754
gradual,9,14,1.476
gradual,9,15,1.8637
gradual,9,16,2.0764
gradual,9,17,1.9487
gradual,9,18,1.6869
gradual,9,19,1.5842
gradual,9,20,1.6552
gradual,9,21,1.6028
gradual,9,22,1.6118
gradual,9,23,1.8078
gradual,9,24,1.9435
gradual,10,11,0.6473
gradual,10,12,0.8938
gradual,10,13,0.8698
gradual,10,14,1.1089
gradual,10,15,1.7166
gradual,10,16,1.9856
gradual,10,17,1.8347
gradual,10,18,1.5057
gradual,10,19,1.3415
gradual,10,20,1.3946
gradual,10,21,1.3168
gradual,10,22,1.3121
gradual,10,23,1.5271
gradual,10,24,1.6727
gradual,11,12,0.2523
gradual,11,13,0.3809
gradual,11,14,1.0446
gradual,11,15,1.7978
gradual,11,16,2.0959
gradual,11,17,1.9362
gradual,11,18,1.5795
gradual,11,19,1.3752
gradual,11,20,1.3958
gradual,11,21,1.304
gradual,11,22,1.2879
gradual,11,23,1.4918
gradual,11,24,1.6302
gradual,12,13,0.3367
gradual,12,14,1.0965
gradual,12,15,1.8627
gradual,12,16,2.1629
gradual,12,17,2.0035
gradual,12,18,1.6488
gradual,12,19,1.4441
gradual,12,20,1.454
gradual,12,21,1.3638
gradual,12,22,1.3484
gradual,12,23,1.5419
gradual,12,24,1.6726
gradual,13,14,0.7718
gradual,13,15,1.5361
gradual,13,16,1.8352
gradual,13,17,1.6762
gradual,13,18,1.3474
gradual,13,19,1.228
gradual,13,20,1.286
gradual,13,21,1.1955
gradual,13,22,1.1896
gradual,13,23,1.4176
gradual,13,24,1.5566
gradual,14,15,0.7692
gradual,14,16,1.0683
gradual,14,17,0.9177
gradual,14,18,0.7526
gradual,14,19,1.0145
gradual,14,20,1.2093
gradual,14,21,1.1237
gradual,14,22,1.0911
gradual,14,23,1.3231
gradual,14,24,1.4547
gradual,15,16,0.3057
gradual,15,17,0.239
gradual,15,18,0.7202
gradual,15,19,1.3276
gradual,15,20,1.5779
gradual,15,21,1.5305
gradual,15,22,1.5124
gradual,15,23,1.7
gradual,15,24,1.7988
gradual,16,17,0.2373
gradual,16,18,0.8788
gradual,16,19,1.5145
gradual,16,20,1.767
gradual,16,21,1.7312
gradual,16,22,1.7162
gradual,16,23,1.8862
gradual,16,24,1.9726
gradual,17,18,0.6448
gradual,17,19,1.281
gradual,17,20,1.5332
gradual,17,21,1.5026
gradual,17,22,1.5205
gradual,17,23,1.7394
gradual,17,24,1.8461
gradual,18,19,0.6404
gradual,18,20,0.8903
gradual,18,21,0.8732
gradual,18,22,1.0144
gradual,18,23,1.3927
gradual,18,24,1.558
gradual,19,20,0.2566
gradual,19,21,0.3062
gradual,19,22,0.7569
gradual,19,23,1.2971
gradual,19,24,1.51
gradual,20,21,0.2336
gradual,20,22,0.7913
gradual,20,23,1.3489
gradual,20,24,1.5679
gradual,21,22,0.5634
gradual,21,23,1.1216
gradual,21,24,1.3412
gradual,22,23,0.5592
gradual,22,24,0.7803
gradual,23,24,0.2247
