cell,n_informative,concept_a,concept_b,l2,l2_std,n_reps
ninf5_sudden,5,2,14,1.4526,0.283,5
ninf5_sudden,5,2,15,1.3044,0.448,5
ninf5_sudden,5,2,16,1.3394,0.2441,5
ninf5_sudden,5,2,17,1.4979,0.2099,5
ninf5_sudden,5,2,18,1.4883,0.3676,5
ninf5_sudden,5,2,19,1.4439,0.255,5
ninf5_sudden,5,2,20,1.374,0.2034,5
ninf5_sudden,5,3,4,1.2521,0.3489,5
ninf5_sudden,5,3,5,1.2736,0.4023,5
ninf5_sudden,5,3,6,1.3537,0.2544,5
ninf5_sudden,5,3,7,1.2513,0.1482,5
ninf5_sudden,5,3,8,1.2411,0.2363,5
ninf5_sudden,5,3,9,1.3138,0.1656,5
ninf5_sudden,5,3,10,1.4859,0.2744,5
ninf5_sudden,5,3,11,1.4397,0.1222,5
ninf5_sudden,5,3,12,1.6424,0.2612,5
ninf5_sudden,5,3,13,1.3048,0.3194,5
ninf5_sudden,5,3,14,1.4376,0.1707,5
ninf5_sudden,5,3,15,1.3385,0.0867,5
ninf5_sudden,5,3,16,1.1414,0.1996,5
ninf5_sudden,5,3,17,1.4188,0.2668,5
ninf5_sudden,5,3,18,1.4702,0.4218,5
ninf5_sudden,5,3,19,1.4155,0.224,5
ninf5_sudden,5,3,20,1.3875,0.273,5
ninf5_sudden,5,4,5,1.3017,0.3247,5
ninf5_sudden,5,4,6,1.3087,0.4213,5
ninf5_sudden,5,4,7,1.3119,0.2696,5
ninf5_sudden,5,4,8,1.2109,0.2046,5
ninf5_sudden,5,4,9,1.2198,0.2515,5
ninf5_sudden,5,4,10,1.3223,0.2033,5
ninf5_sudden,5,4,11,1.5345,0.4963,5
ninf5_sudden,5,4,12,1.4276,0.1395,5
ninf5_sudden,5,4,13,1.2654,0.3427,5
ninf5_sudden,5,4,14,1.3615,0.1921,5
ninf5_sudden,5,4,15,1.3468,0.2876,5
ninf5_sudden,5,4,16,1.3236,0.1129,5
ninf5_sudden,5,4,17,1.4962,0.3952,5
ninf5_sudden,5,4,18,1.3846,0.3516,5
ninf5_sudden,5,4,19,1.3239,0.086,5
ninf5_sudden,5,4,20,1.1884,0.3013,5
ninf5_sudden,5,5,6,1.41,0.3473,5
ninf5_sudden,5,5,7,1.2081,0.212,5
ninf5_sudden,5,5,8,1.217,0.3368,5
ninf5_sudden,5,5,9,1.3443,0.1902,5
ninf5_sudden,5,5,10,1.2965,0.1242,5
ninf5_sudden,5,5,11,1.3202,0.2254,5
ninf5_sudden,5,5,12,1.4867,0.2243,5
ninf5_sudden,5,5,13,1.2928,0.3756,5
ninf5_sudden,5,5,14,1.4175,0.2856,5
ninf5_sudden,5,5,15,1.4632,0.2334,5
ninf5_sudden,5,5,16,1.2113,0.3081,5
ninf5_sudden,5,5,17,1.4016,0.3599,5
ninf5_sudden,5,5,18,1.5022,0.4334,5
ninf5_sudden,5,5,19,1.383,0.2045,5
ninf5_sudden,5,5,20,1.3294,0.1983,5
ninf5_sudden,5,6,7,1.37,0.3483,5
ninf5_sudden,5,6,8,1.3469,0.2891,5
ninf5_sudden,5,6,9,1.4791,0.2384,5
ninf5_sudden,5,6,10,1.5413,0.1729,5
ninf5_sudden,5,6,11,1.5627,0.4048,5
ninf5_sudden,5,6,12,1.573,0.2754,5
ninf5_sudden,5,6,13,1.2689,0.315,5
ninf5_sudden,5,6,14,1.5717,0.1572,5
ninf5_sudden,5,6,15,1.4036,0.1962,5
ninf5_sudden,5,6,16,1.4928,0.1925,5
ninf5_sudden,5,6,17,1.663,0.3608,5
ninf5_sudden,5,6,18,1.5648,0.2812,5
ninf5_sudden,5,6,19,1.4489,0.2388,5
ninf5_sudden,5,6,20,1.4864,0.4536,5
ninf5_sudden,5,7,8,1.1982,0.2357,5
ninf5_sudden,5,7,9,1.3171,0.1353,5
ninf5_sudden,5,7,10,1.4775,0.1078,5
ninf5_sudden,5,7,11,1.1744,0.1119,5
ninf5_sudden,5,7,12,1.4681,0.3292,5
ninf5_sudden,5,7,13,1.2036,0.3829,5
ninf5_sudden,5,7,14,1.3894,0.2217,5
ninf5_sudden,5,7,15,1.2576,0.3286,5
ninf5_sudden,5,7,16,1.2822,0.1304,5
ninf5_sudden,5,7,17,1.3987,0.139,5
ninf5_sudden,5,7,18,1.5392,0.2516,5
ninf5_sudden,5,7,19,1.3797,0.3704,5
ninf5_sudden,5,7,20,1.3246,0.2244,5
ninf5_sudden,5,8,9,1.309,0.1922,5
ninf5_sudden,5,8,10,1.4099,0.3138,5
ninf5_sudden,5,8,11,1.334,0.3502,5
ninf5_sudden,5,8,12,1.4564,0.1875,5
ninf5_sudden,5,8,13,1.1595,0.239,5
ninf5_sudden,5,8,14,1.3115,0.2599,5
ninf5_sudden,5,8,15,1.3844,0.4208,5
ninf5_sudden,5,8,16,1.3077,0.2423,5
ninf5_sudden,5,8,17,1.334,0.3319,5
ninf5_sudden,5,8,18,1.5406,0.4066,5
ninf5_sudden,5,8,19,1.3478,0.1747,5
ninf5_sudden,5,8,20,1.3186,0.2544,5
ninf5_sudden,5,9,10,1.5383,0.2759,5
ninf5_sudden,5,9,11,1.4236,0.4769,5
ninf5_sudden,5,9,12,1.5078,0.1521,5
ninf5_sudden,5,9,13,1.2948,0.284,5
ninf5_sudden,5,9,14,1.5515,0.1715,5
ninf5_sudden,5,9,15,1.4906,0.3662,5
ninf5_sudden,5,9,16,1.372,0.1551,5
ninf5_sudden,5,9,17,1.5819,0.3716,5
ninf5_sudden,5,9,18,1.6308,0.4684,5
ninf5_sudden,5,9,19,1.3875,0.2747,5
ninf5_sudden,5,9,20,1.4202,0.2077,5
ninf5_sudden,5,10,11,1.5379,0.3573,5
ninf5_sudden,5,10,12,1.5844,0.1773,5
ninf5_sudden,5,10,13,1.4914,0.2708,5
ninf5_sudden,5,10,14,1.5133,0.3113,5
ninf5_sudden,5,10,15,1.4293,0.3632,5
ninf5_sudden,5,10,16,1.3956,0.0996,5
ninf5_sudden,5,10,17,1.5645,0.1828,5
ninf5_sudden,5,10,18,1.5587,0.3248,5
ninf5_sudden,5,10,19,1.5292,0.1167,5
ninf5_sudden,5,10,20,1.4571,0.2416,5
ninf5_sudden,5,11,12,1.5745,0.2891,5
ninf5_sudden,5,11,13,1.4079,0.3502,5
ninf5_sudden,5,11,14,1.5518,0.2859,5
ninf5_sudden,5,11,15,1.3045,0.4279,5
ninf5_sudden,5,11,16,1.3849,0.184,5
ninf5_sudden,5,11,17,1.5082,0.4573,5
ninf5_sudden,5,11,18,1.4965,0.3323,5
ninf5_sudden,5,11,19,1.3555,0.4575,5
ninf5_sudden,5,11,20,1.4276,0.2836,5
ninf5_sudden,5,12,13,1.4889,0.1765,5
ninf5_sudden,5,12,14,1.5656,0.3042,5
ninf5_sudden,5,12,15,1.6243,0.1404,5
ninf5_sudden,5,12,16,1.4719,0.2347,5
ninf5_sudden,5,12,17,1.6418,0.2132,5
ninf5_sudden,5,12,18,1.5676,0.2234,5
ninf5_sudden,5,12,19,1.5254,0.274,5
ninf5_sudden,5,12,20,1.4965,0.1649,5
ninf5_sudden,5,13,14,1.4315,0.2291,5
ninf5_sudden,5,13,15,1.3641,0.3831,5
ninf5_sudden,5,13,16,1.3163,0.1989,5
ninf5_sudden,5,13,17,1.4496,0.2951,5
ninf5_sudden,5,13,18,1.6459,0.4905,5
ninf5_sudden,5,13,19,1.3488,0.2051,5
