cell,n_informative,concept,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
ninf10_sudden,10,11,-0.014,-1.0019,-0.0028,-0.4905,-0.0326,-1.0052,-0.0048,0.4965,-0.4915,-0.0075,0.0026,-0.003,0.0073,0.0118,0.0059,0.0026,0.0012,0.0037,-0.002,0.0153
ninf10_sudden,10,12,0.4986,0.5058,-0.988,0.0032,-0.0023,-0.0048,0.5062,0.4959,0.0023,0.4941,-0.4743,0.5005,-0.0016,0.0046,-0.0018,0.0018,0.0064,0.0048,0.014,0.9939
ninf10_sudden,10,13,-0.0066,-0.0033,0.0005,-0.013,-0.0164,0.0015,0.0133,-0.5127,-0.0092,0.0098,-0.0079,-0.0069,0.5029,0.4926,-0.0021,0.0001,0.0076,-0.0073,-0.0115,0.0053
ninf10_sudden,10,14,0.4947,-0.0049,-0.0011,0.0085,0.0054,-0.0106,0.0014,0.5101,0.0066,-0.0077,0.0091,0.5018,-0.0011,0.0152,0.0037,-0.0057,-0.4858,-0.0106,0.4975,1.0102
ninf10_sudden,10,15,-0.0066,0.0001,0.489,-0.0012,-0.0002,-0.488,-0.0045,0.9931,-0.0039,0.0043,-1.0126,0.507,-0.0001,-0.0029,-0.5098,-0.4988,-0.0059,0.0069,0.0008,-0.4896
ninf10_sudden,10,16,0.4944,-0.5001,0.0005,-0.5158,0.0044,-0.0005,0.0009,-0.0098,0.0004,-0.9807,-0.0036,-0.003,-0.486,0.0043,0.4838,-0.0053,0.001,0.0082,0.0042,-0.0001
ninf10_sudden,10,17,-0.486,-0.0074,0.0017,0.006,-0.0016,0.9934,0.0016,-0.4902,-0.0073,0.0044,-0.0033,-0.0028,0.0002,0.0005,-0.0008,-0.0043,0.0056,-0.5083,-0.9847,0.9977
ninf10_sudden,10,18,0.0028,0.5073,-0.0153,0.0064,0.0023,0.0067,-0.0008,0.5045,0.0079,0.004,-0.0,-0.0002,-0.5088,-0.0011,0.0063,0.0034,-0.007,-0.0081,-0.004,0.4945
ninf10_sudden,10,19,-0.0001,-0.0097,-0.0004,0.0064,-0.0013,-0.5011,-0.0031,0.4964,0.4979,0.0016,0.0005,-0.0026,0.484,-0.4945,0.4914,-0.4952,0.008,0.0057,0.0032,-0.5109
ninf10_sudden,10,20,0.0052,0.5038,0.0017,0.4921,0.0001,-0.004,-0.4996,-0.0028,-0.005,0.5264,-0.0066,0.4961,-0.0024,-0.0066,-0.0211,0.0018,-0.509,-0.0032,-0.0032,0.0028
