cell,concept_a,concept_b,l2,l2_std,n_reps
gradual,14,22,1.4233,0.1934,5
gradual,14,23,1.662,0.2266,5
gradual,14,24,1.8121,0.278,5
gradual,15,16,0.3156,0.0555,5
gradual,15,17,0.3138,0.0785,5
gradual,15,18,0.8302,0.1467,5
gradual,15,19,1.4751,0.2182,5
gradual,15,20,1.7472,0.2417,5
gradual,15,21,1.6709,0.2078,5
gradual,15,22,1.6213,0.1082,5
gradual,15,23,1.8009,0.099,5
gradual,15,24,1.9332,0.1656,5
gradual,16,17,0.2848,0.0426,5
gradual,16,18,0.9476,0.1011,5
gradual,16,19,1.6181,0.1716,5
gradual,16,20,1.8941,0.1958,5
gradual,16,21,1.8213,0.1693,5
gradual,16,22,1.7629,0.0928,5
gradual,16,23,1.9176,0.1089,5
gradual,16,24,2.0402,0.1712,5
gradual,17,18,0.6684,0.0647,5
gradual,17,19,1.3384,0.1357,5
gradual,17,20,1.6142,0.1584,5
gradual,17,21,1.5465,0.1334,5
gradual,17,22,1.5299,0.0577,5
gradual,17,23,1.7499,0.1563,5
gradual,17,24,1.8971,0.23,5
gradual,18,19,0.6734,0.0712,5
gradual,18,20,0.948,0.0947,5
gradual,18,21,0.8976,0.0754,5
gradual,18,22,1.051,0.0836,5
gradual,18,23,1.4691,0.2744,5
gradual,18,24,1.6783,0.348,5
gradual,19,20,0.2806,0.0282,5
gradual,19,21,0.3312,0.025,5
gradual,19,22,0.8569,0.2135,5
gradual,19,23,1.4627,0.383,5
gradual,19,24,1.7133,0.4419,5
gradual,20,21,0.2596,0.0768,5
gradual,20,22,0.905,0.2227,5
gradual,20,23,1.5357,0.3866,5
gradual,20,24,1.7897,0.443,5
gradual,21,22,0.6511,0.147,5
gradual,21,23,1.2817,0.3098,5
gradual,21,24,1.5355,0.3665,5
gradual,22,23,0.6327,0.1642,5
gradual,22,24,0.8868,0.2199,5
gradual,23,24,0.2586,0.0593,5
