stream;n_drifts;n_features;drift_type;chunk_size;n_segments;n_concepts;recurs;random_baseline;n_instances;instances_per_segment;ReMF best (repr / clf);ReMF best BA;Komorniczak best (group / clf);Komorniczak best BA;vanilla best (clf);vanilla best BA;gap ReMF - Komorniczak (best vs best);ReMF time (ms/win);ReMF peak MB (rel.);Komorniczak time (ms/win);Komorniczak peak MB (rel.);Vanilla time (ms/win);Vanilla peak MB (rel.);ReMF GNB BA;ReMF GNB representation;Komorniczak GNB BA;Komorniczak GNB group;vanilla GNB BA;ReMF KNN BA;ReMF KNN representation;Komorniczak KNN BA;Komorniczak KNN group;vanilla KNN BA;ReMF HT BA;ReMF HT representation;Komorniczak HT BA;Komorniczak HT group;vanilla HT BA;ReMF MLP BA;ReMF MLP representation;Komorniczak MLP BA;Komorniczak MLP group;vanilla MLP BA
stagger;1;3;gradual;100;2;2;no;0,5000;500000;250000;Aggstats / KNN;0,9966;complexity / GNB;0,9995;MLP;0,9953;-0,0028;10,4340;0,0500;;;0,1020;1,9200;0,9944;Aggstats;0,9995;complexity;0,5647;0,9966;Aggstats;0,9991;complexity;0,9184;0,8296;Aggstats;0,9995;complexity;0,8619;0,9918;Aggstats;0,9994;general;0,9953
stagger;3;3;gradual;100;4;3;yes;0,3333;500000;125000;Aggstats / KNN;0,9797;complexity / KNN;0,9970;MLP;0,9822;-0,0173;10,4340;0,0500;;;0,1020;1,9200;0,6406;Aggstats;0,9803;complexity;0,3831;0,9797;Aggstats;0,9970;complexity;0,6916;0,6140;Aggstats;0,9912;landmarking;0,3829;0,9761;Aggstats;0,9949;general;0,9822
stagger;7;3;gradual;100;8;3;yes;0,3333;500000;62500;Aggstats / MLP;0,9550;general / MLP;0,9816;MLP;0,9428;-0,0266;10,4340;0,0500;;;0,1020;1,9200;0,4486;Aggstats;0,9619;complexity;0,3653;0,3761;Raw scores;0,9536;complexity;0,3420;0,4482;Aggstats;0,9637;landmarking;0,3652;0,9550;Aggstats;0,9816;general;0,9428
stagger;15;3;gradual;100;16;3;yes;0,3333;500000;31250;Aggstats / MLP;0,9198;complexity / GNB;0,9485;MLP;0,7880;-0,0287;10,4340;0,0500;;;0,1020;1,9200;0,4632;Aggstats;0,9485;complexity;0,3504;0,4444;Raw + temporal;0,9304;complexity;0,4068;0,4423;Raw + temporal;0,9484;complexity;0,3502;0,9198;Aggstats;0,9287;model-based;0,7880
stagger;1;3;gradual;200;2;2;no;0,5000;500000;250000;Aggstats / GNB;0,9951;complexity / GNB;0,9992;MLP;0,9895;-0,0041;10,4340;0,0500;;;0,1020;1,9200;0,9951;Aggstats;0,9992;complexity;0,5558;0,9942;Aggstats;0,9974;complexity;0,8197;0,7515;Aggstats;0,9990;complexity;0,5554;0,9817;Aggstats;0,9988;general;0,9895
stagger;3;3;gradual;200;4;3;yes;0,3333;500000;125000;Aggstats / MLP;0,9630;concept / MLP;0,9905;MLP;0,9597;-0,0275;10,4340;0,0500;;;0,1020;1,9200;0,6118;Aggstats;0,9799;info-theory;0,3769;0,4151;Raw + temporal;0,9766;complexity;0,3898;0,3724;Raw + temporal;0,9817;landmarking;0,3763;0,9630;Aggstats;0,9905;concept;0,9597
stagger;7;3;gradual;200;8;3;yes;0,3333;500000;62500;Aggstats / MLP;0,9337;complexity / GNB;0,9663;MLP;0,8870;-0,0325;10,4340;0,0500;;;0,1020;1,9200;0,4854;Aggstats;0,9663;complexity;0,3599;0,4384;Raw scores;0,9426;statistical;0,4083;0,4134;Aggstats;0,9662;complexity;0,3596;0,9337;Aggstats;0,9651;concept;0,8870
stagger;15;3;gradual;200;16;3;yes;0,3333;500000;31250;Aggstats / MLP;0,8650;complexity / GNB;0,9502;MLP;0,6210;-0,0852;10,4340;0,0500;;;0,1020;1,9200;0,4591;Aggstats;0,9502;complexity;0,3411;0,4090;Raw + temporal;0,9403;complexity;0,3822;0,4465;Raw scores;0,9501;complexity;0,3413;0,8650;Aggstats;0,9052;concept;0,6210
stagger;1;3;gradual;500;2;2;no;0,5000;500000;250000;Aggstats / MLP;0,9978;clustering / GNB;0,9980;MLP;0,9664;-0,0002;10,4340;0,0500;;;0,1020;1,9200;0,9948;Aggstats;0,9980;clustering;0,5482;0,7948;Raw scores;0,9972;complexity;0,6324;0,5076;Aggstats;0,9974;complexity;0,5472;0,9978;Aggstats;0,9970;general;0,9664
stagger;3;3;gradual;500;4;3;yes;0,3333;500000;125000;Aggstats / MLP;0,9365;info-theory / GNB;0,9775;MLP;0,8873;-0,0409;10,4340;0,0500;;;0,1020;1,9200;0,6952;Aggstats;0,9775;info-theory;0,3697;0,3945;Raw + temporal;0,9615;complexity;0,3728;0,3647;Raw + temporal;0,9759;info-theory;0,3692;0,9365;Aggstats;0,9733;concept;0,8873
stagger;7;3;gradual;500;8;3;yes;0,3333;500000;62500;Aggstats / MLP;0,8410;complexity / HT;0,9607;MLP;0,7085;-0,1197;10,4340;0,0500;;;0,1020;1,9200;0,4657;Aggstats;0,9586;info-theory;0,3512;0,4143;Raw scores;0,9451;concept;0,3637;0,3935;Raw + temporal;0,9607;complexity;0,3508;0,8410;Aggstats;0,9134;concept;0,7085
stagger;15;3;gradual;500;16;3;yes;0,3333;500000;31250;Aggstats / MLP;0,6733;complexity / HT;0,9490;KNN;0,3538;-0,2757;10,4340;0,0500;;;0,1020;1,9200;0,4758;Aggstats;0,9474;info-theory;0,3222;0,4006;Raw scores;0,9483;concept;0,3538;0,3928;Aggstats;0,9490;complexity;0,3336;0,6733;Aggstats;0,8360;concept;0,3456
